정류장번호,정류장명,위도,경도,정보수집일,모바일단축번호,도시코드,도시명,관리도시명,시도,시군구,읍면동
CAB285071943,성성교차로,36.84336,127.12085,2025-10-31,71943,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,부성2동
CAB285000047,대홍5리,36.94615489,127.1333158,2025-10-31,47,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,성환읍
CAB285000050,대홍1리(대정),36.93843296,127.1343591,2025-10-31,50,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,성환읍
CAB285000051,대홍4리(갯방죽),36.93176964,127.1341091,2025-10-31,51,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,성환읍
CAB285000052,대홍4리(갯방죽),36.93229797,127.1344624,2025-10-31,52,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,성환읍
CAB285000053,희성폴리머,36.92925798,127.1342557,2025-10-31,53,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,성환읍
CAB285000054,희성폴리머,36.92884631,127.1340474,2025-10-31,54,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,성환읍
CAB285000055,장로교회,36.92347629,127.1346624,2025-10-31,55,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,성환읍
CAB285000056,장로교회,36.92336465,127.1344274,2025-10-31,56,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,성환읍
CAB285000057,대홍리,36.9487585,127.1341577,2025-10-31,57,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,성환읍
CAB285000058,수향1리(지족향),36.94976127,127.1417441,2025-10-31,58,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,성환읍
CAB285000059,수향2리(무내),36.94627127,127.1496207,2025-10-31,59,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,성환읍
CAB285000060,수향2리,36.94339467,127.1506368,2025-10-31,60,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,성환읍
CAB285000061,수향3리,36.9420418,127.1564822,2025-10-31,61,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,성환읍
CAB285000062,천안연암대학교,36.9440399,127.1585228,2025-10-31,62,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,성환읍
CAB285000063,도하3리,36.94592493,127.1618729,2025-10-31,63,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,성환읍
CAB285000064,도하1리(도감말),36.94769411,127.1640314,2025-10-31,64,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,성환읍
CAB285000065,양령리,36.95448794,127.1780857,2025-10-31,65,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,입장면
CAB285000066,산정1리(산우물),36.9407913,127.1792908,2025-10-31,66,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,입장면
CAB285000067,흑암리,36.9379979,127.1830734,2025-10-31,67,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,입장면
CAB285000068,가산1리(토산),36.9347908,127.1889787,2025-10-31,68,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,입장면
CAB285000069,용정1리(강당),36.925789,127.1886594,2025-10-31,69,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,입장면
CAB285000070,용정2리,36.9217472,127.1925684,2025-10-31,70,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,입장면
CAB285000071,신두1리,36.91665547,127.2022187,2025-10-31,71,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,입장면
CAB285000072,연곡2리 갈산지,36.948822,127.196869,2025-10-31,72,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,입장면
CAB285000073,연곡1리,36.95478797,127.1860758,2025-10-31,73,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,입장면
